#	type	key	freq
1	T	n: node	416
2	T	n: state	405
3	T	n: search	383
4	T	n: problem	303
5	T	n: variable	277
6	T	n: goal	259
7	T	n: algorithm	249
8	T	n: rule	212
9	T	n: system	209
10	T	n: agent	201
11	T	n: logic	157
12	T	n: function	156
13	T	n: solution	148
14	T	n: clause	146
15	T	n: space	146
16	T	n: knowledge	146
17	T	n: action	142
18	T	n: tree	129
19	T	n: constraint	128
20	T	n: path	123
21	T	n: number	116
22	T	n: step	111
23	T	n: inference	110
24	T	n: sentence	109
25	T	n: operator	104
26	T	a: true	99
27	T	n: student	96
28	T	a: initial	96
29	T	n: plan	94
30	T	n: formula	93
31	T	n: order	93
32	T	n: language	92
33	T	n: world	85
34	T	n: network	84
35	T	n: literal	81
36	T	n: case	80
37	T	n: domain	78
38	T	a: current	78
39	T	n: resolution	74
40	T	n: time	72
41	T	n: fringe	72
42	T	an: initial state	71
43	T	n: term	71
44	T	n: input	71
45	T	a: heuristic	70
46	T	a: complete	68
47	T	n: cost	68
48	T	n: graph	65
49	T	n: hypothesis	64
50	T	a: consistent	63
51	T	n: form	61
52	T	n: probability	61
53	T	n: class	61
54	T	n: planning	60
55	T	n: proof	58
56	T	n: information	58
57	T	a: semantic	56
58	T	n: depth	55
59	T	n: environment	55
60	T	n: expert	55
61	T	n: fact	54
62	T	n: model	54
63	T	n: child	54
64	T	n: strategy	54
65	T	n: successor	53
66	T	n: structure	53
67	T	n: method	53
68	T	nn: goal state	53
68	V[s]	ann: optimal goal state	2
68	V[s]	nnn: goal state description	3
69	T	a: positive	53
70	T	a: simple	52
71	T	a: general	51
72	T	r: forward	50
73	T	n: statement	49
74	T	n: table	49
75	T	n: procedure	49
76	T	n: object	49
77	T	n: attribute	48
78	T	nn: search tree	48
78	V[s]	ann: complete search tree	4
78	V[s]	nnpn: search tree of depth	2
79	T	n: datum	47
80	T	n: word	47
81	T	n: output	46
82	T	n: property	46
83	T	n: instance	46
84	T	n: perceptron	46
85	T	n: frame	46
86	T	n: situation	45
87	T	n: truth	45
88	T	n: lesson	45
89	T	n: gamma	44
90	T	a: false	43
91	T	n: start	43
92	T	a: human	43
93	T	n: distribution	42
94	T	nn: state space	42
94	V[s]	nnn: state space search	12
94	V[s]	nnn: state space graph	4
94	V[s]	ann: implicit state space	3
94	V[s]	nnn: state space formulation	2
94	V[s]	nnn: state space representation	3
95	T	n: element	42
96	T	n: theorem	41
97	T	n: symbol	41
98	T	n: machine	41
99	T	n: queen	40
100	T	n: consistency	40
101	T	n: concept	40
102	T	n: predicate	40
103	T	n: module	40
104	T	n: theory	40
105	T	nn: search algorithm	39
105	V[s]	nnn: graph search algorithm	4
105	V[s]	ann: basic search algorithm	4
106	T	a: small	39
107	T	n: process	38
108	T	an: natural language	38
108	V[s]	aan: module13 natural language	2
109	T	n: game	38
110	T	nn: expert system	38
110	V[s]	ann: medical expert system	7
110	V[s]	ann: fuzzy expert system	2
110	V[s]	aann: fictitious medical expert system	2
110	V[s]	nnn: expert system shell	3
111	T	a: open	37
112	T	n: task	37
113	T	n: figure	36
114	T	n: definition	36
115	T	n: player	36
116	T	n: return	35
117	T	n: assignment	35
118	T	n: note	35
119	T	n: learning	35
120	T	a: optimal	34
121	T	n: axiom	34
122	T	n: computer	34
123	T	n: prolog	34
124	T	n: application	33
125	T	a: large	33
126	T	n: decision	32
127	T	n: program	32
128	T	n: consequence	32
129	T	n: parent	32
130	T	a: independent	32
131	T	nn: knowledge representation	32
131	V[s]	nnn: knowledge representation language	4
132	T	nn: search problem	32
132	V[s]	nnnn: state space search problem	3
132	V[s]	ann: two-agent search problem	2
133	T	n: move	32
134	T	n: intelligence	32
135	T	n: list	32
136	T	n: technique	31
137	T	an: current state	31
138	T	nn: membership function	31
138	V[s]	nnn: output membership function	2
139	T	n: result	31
140	T	n: subset	31
141	T	n: meaning	30
142	T	n: test	30
143	T	n: processing	30
144	T	n: point	29
145	T	n: planner	29
146	T	n: training	29
147	T	n: pair	28
148	T	n: memory	28
149	T	n: question	28
150	T	a: real	28
151	T	a: high	28
152	T	n: weight	28
153	T	n: operation	28
154	T	n: effect	28
155	T	n: slot	28
156	T	n: inferencing	27
157	T	a: equivalent	27
158	T	n: precondition	27
159	T	n: percept	27
160	T	n: complexity	27
161	T	nn: inference rule	27
161	V[s]	nnn: resolution inference rule	4
162	T	n: link	27
163	T	n: john	26
164	T	a: negative	26
165	T	a: joint	26
166	T	n: substitution	26
167	T	n: condition	25
